order_number,customer_id,product_id,order_date,units,sale_price,currency,order_mode,updated_at
1,212,5,null,10,11,USD,NEW,2023-01-01T12:00:00.000+0000
2,1940,10,null,8,72,USD,NEW,2023-01-01T12:00:00.000+0000
3,60,6,null,4,24,INR,NEW,2023-01-01T12:00:00.000+0000
4,2776,6,null,4,20,USD,NEW,2023-01-01T12:00:00.000+0000
5,409,9,null,5,98,INR,NEW,2023-01-01T12:00:00.000+0000
6,978,6,null,1,6,USD,NEW,2023-01-01T12:00:00.000+0000
7,2904,6,null,1,71,EUR,NEW,2023-01-01T12:00:00.000+0000
8,1269,3,null,6,47,USD,NEW,2023-01-01T12:00:00.000+0000
9,2628,5,null,1,59,EUR,NEW,2023-01-01T12:00:00.000+0000
10,1672,8,null,3,43,USD,NEW,2023-01-01T12:00:00.000+0000
11,2666,5,null,5,43,EUR,NEW,2023-01-01T12:00:00.000+0000
12,1521,9,null,1,9,EUR,NEW,2023-01-01T12:00:00.000+0000
13,2681,1,null,3,7,CAD,NEW,2023-01-01T12:00:00.000+0000
14,1485,3,null,3,38,EUR,NEW,2023-01-01T12:00:00.000+0000
15,2550,6,null,4,5,CAD,NEW,2023-01-01T12:00:00.000+0000
16,259,7,null,1,71,USD,NEW,2023-01-01T12:00:00.000+0000
17,1143,1,null,5,0,EUR,NEW,2023-01-01T12:00:00.000+0000
18,185,2,null,3,98,USD,NEW,2023-01-01T12:00:00.000+0000
19,1819,2,null,2,52,CAD,NEW,2023-01-01T12:00:00.000+0000
20,110,1,null,7,39,INR,NEW,2023-01-01T12:00:00.000+0000
21,1031,6,null,8,15,CAD,NEW,2023-01-01T12:00:00.000+0000
22,1936,5,null,2,56,EUR,NEW,2023-01-01T12:00:00.000+0000
23,584,10,null,7,63,EUR,NEW,2023-01-01T12:00:00.000+0000
24,934,7,null,2,89,INR,NEW,2023-01-01T12:00:00.000+0000
25,2917,10,null,6,23,EUR,NEW,2023-01-01T12:00:00.000+0000
26,311,8,null,6,94,CAD,NEW,2023-01-01T12:00:00.000+0000
27,866,10,null,6,20,INR,NEW,2023-01-01T12:00:00.000+0000
28,311,2,null,7,9,EUR,NEW,2023-01-01T12:00:00.000+0000
29,827,9,null,8,50,CAD,NEW,2023-01-01T12:00:00.000+0000
30,1946,8,null,2,22,EUR,NEW,2023-01-01T12:00:00.000+0000
31,129,5,null,7,32,EUR,NEW,2023-01-01T12:00:00.000+0000
32,1717,3,null,5,21,USD,NEW,2023-01-01T12:00:00.000+0000
33,35,1,null,4,52,USD,NEW,2023-01-01T12:00:00.000+0000
34,2766,5,null,5,20,USD,NEW,2023-01-01T12:00:00.000+0000
35,567,9,null,3,68,EUR,NEW,2023-01-01T12:00:00.000+0000
36,1341,4,null,10,39,INR,NEW,2023-01-01T12:00:00.000+0000
37,988,2,null,2,8,CAD,NEW,2023-01-01T12:00:00.000+0000
38,1913,6,null,10,0,EUR,NEW,2023-01-01T12:00:00.000+0000
39,2034,6,null,8,86,CAD,NEW,2023-01-01T12:00:00.000+0000
40,1751,3,null,3,18,CAD,NEW,2023-01-01T12:00:00.000+0000
41,1317,7,null,10,41,CAD,NEW,2023-01-01T12:00:00.000+0000
42,2013,4,null,5,3,INR,NEW,2023-01-01T12:00:00.000+0000
43,2265,9,null,8,71,CAD,NEW,2023-01-01T12:00:00.000+0000
44,1908,10,null,5,40,USD,NEW,2023-01-01T12:00:00.000+0000
45,1008,5,null,6,55,CAD,NEW,2023-01-01T12:00:00.000+0000
46,1573,10,null,2,0,USD,NEW,2023-01-01T12:00:00.000+0000
47,1194,1,null,3,61,USD,NEW,2023-01-01T12:00:00.000+0000
48,2020,5,null,1,4,INR,NEW,2023-01-01T12:00:00.000+0000
49,2873,5,null,8,68,USD,NEW,2023-01-01T12:00:00.000+0000
50,492,4,null,2,89,INR,NEW,2023-01-01T12:00:00.000+0000
51,987,7,null,7,69,CAD,NEW,2023-01-01T12:00:00.000+0000
52,1426,9,null,7,21,CAD,NEW,2023-01-01T12:00:00.000+0000
53,2871,8,null,9,61,USD,NEW,2023-01-01T12:00:00.000+0000
54,610,10,null,6,77,EUR,NEW,2023-01-01T12:00:00.000+0000
55,177,9,null,9,88,INR,NEW,2023-01-01T12:00:00.000+0000
56,2939,5,null,6,40,INR,NEW,2023-01-01T12:00:00.000+0000
57,1704,1,null,7,89,EUR,NEW,2023-01-01T12:00:00.000+0000
58,146,2,null,3,37,USD,NEW,2023-01-01T12:00:00.000+0000
59,1893,10,null,1,16,USD,NEW,2023-01-01T12:00:00.000+0000
60,1334,3,null,7,32,EUR,NEW,2023-01-01T12:00:00.000+0000
61,1817,5,null,6,81,EUR,NEW,2023-01-01T12:00:00.000+0000
62,1521,7,null,4,99,EUR,NEW,2023-01-01T12:00:00.000+0000
63,1719,4,null,6,40,USD,NEW,2023-01-01T12:00:00.000+0000
64,1339,3,null,5,45,EUR,NEW,2023-01-01T12:00:00.000+0000
65,2316,7,null,6,32,USD,NEW,2023-01-01T12:00:00.000+0000
66,1498,4,null,9,93,CAD,NEW,2023-01-01T12:00:00.000+0000
67,432,5,null,10,29,EUR,NEW,2023-01-01T12:00:00.000+0000
68,818,4,null,3,36,INR,NEW,2023-01-01T12:00:00.000+0000
69,1131,7,null,7,45,CAD,NEW,2023-01-01T12:00:00.000+0000
70,1675,2,null,5,14,CAD,NEW,2023-01-01T12:00:00.000+0000
71,2557,10,null,2,1,EUR,NEW,2023-01-01T12:00:00.000+0000
72,2175,8,null,8,61,USD,NEW,2023-01-01T12:00:00.000+0000
73,2814,4,null,9,34,INR,NEW,2023-01-01T12:00:00.000+0000
74,2027,6,null,10,83,CAD,NEW,2023-01-01T12:00:00.000+0000
75,1842,7,null,4,74,INR,NEW,2023-01-01T12:00:00.000+0000
76,1958,5,null,5,2,CAD,NEW,2023-01-01T12:00:00.000+0000
77,133,5,null,1,26,INR,NEW,2023-01-01T12:00:00.000+0000
78,2424,8,null,2,72,USD,NEW,2023-01-01T12:00:00.000+0000
79,356,6,null,2,74,EUR,NEW,2023-01-01T12:00:00.000+0000
80,1029,1,null,8,66,USD,NEW,2023-01-01T12:00:00.000+0000
81,1844,9,null,7,50,USD,NEW,2023-01-01T12:00:00.000+0000
82,282,5,null,10,97,CAD,NEW,2023-01-01T12:00:00.000+0000
83,2204,8,null,5,76,CAD,NEW,2023-01-01T12:00:00.000+0000
84,255,8,null,1,71,CAD,NEW,2023-01-01T12:00:00.000+0000
85,2730,3,null,2,90,USD,NEW,2023-01-01T12:00:00.000+0000
86,2775,8,null,5,58,USD,NEW,2023-01-01T12:00:00.000+0000
87,1039,1,null,3,30,INR,NEW,2023-01-01T12:00:00.000+0000
88,1178,5,null,4,13,INR,NEW,2023-01-01T12:00:00.000+0000
89,2331,4,null,8,4,EUR,NEW,2023-01-01T12:00:00.000+0000
90,1964,10,null,5,62,INR,NEW,2023-01-01T12:00:00.000+0000
91,457,7,null,10,12,USD,NEW,2023-01-01T12:00:00.000+0000
92,371,2,null,6,4,INR,NEW,2023-01-01T12:00:00.000+0000
93,2846,1,null,6,59,CAD,NEW,2023-01-01T12:00:00.000+0000
94,366,2,null,5,52,CAD,NEW,2023-01-01T12:00:00.000+0000
95,55,4,null,9,85,EUR,NEW,2023-01-01T12:00:00.000+0000
96,1233,4,null,9,87,INR,NEW,2023-01-01T12:00:00.000+0000
97,381,4,null,3,51,USD,NEW,2023-01-01T12:00:00.000+0000
98,2724,1,null,4,91,CAD,NEW,2023-01-01T12:00:00.000+0000
99,1091,5,null,2,0,USD,NEW,2023-01-01T12:00:00.000+0000
100,1648,7,null,8,87,EUR,NEW,2023-01-01T12:00:00.000+0000
101,102,10,null,1,71,USD,NEW,2023-01-01T12:00:00.000+0000
102,1964,8,null,4,35,INR,NEW,2023-01-01T12:00:00.000+0000
103,1860,8,null,5,47,EUR,NEW,2023-01-01T12:00:00.000+0000
104,2283,10,null,1,92,INR,NEW,2023-01-01T12:00:00.000+0000
105,1584,8,null,2,80,CAD,NEW,2023-01-01T12:00:00.000+0000
106,840,10,null,1,47,EUR,NEW,2023-01-01T12:00:00.000+0000
107,750,7,null,2,24,EUR,NEW,2023-01-01T12:00:00.000+0000
108,623,1,null,8,58,INR,NEW,2023-01-01T12:00:00.000+0000
109,1656,8,null,7,29,CAD,NEW,2023-01-01T12:00:00.000+0000
110,2364,9,null,7,73,USD,NEW,2023-01-01T12:00:00.000+0000
111,1366,3,null,10,83,USD,NEW,2023-01-01T12:00:00.000+0000
112,1497,3,null,3,89,USD,NEW,2023-01-01T12:00:00.000+0000
113,726,6,null,2,98,EUR,NEW,2023-01-01T12:00:00.000+0000
114,562,7,null,4,61,INR,NEW,2023-01-01T12:00:00.000+0000
115,1210,8,null,9,73,CAD,NEW,2023-01-01T12:00:00.000+0000
116,580,9,null,3,12,CAD,NEW,2023-01-01T12:00:00.000+0000
117,814,3,null,10,69,CAD,NEW,2023-01-01T12:00:00.000+0000
118,7,8,null,5,64,USD,NEW,2023-01-01T12:00:00.000+0000
119,335,7,null,7,69,CAD,NEW,2023-01-01T12:00:00.000+0000
120,2357,4,null,3,51,INR,NEW,2023-01-01T12:00:00.000+0000
121,484,1,null,10,30,INR,NEW,2023-01-01T12:00:00.000+0000
122,108,5,null,4,6,INR,NEW,2023-01-01T12:00:00.000+0000
123,83,10,null,7,0,EUR,NEW,2023-01-01T12:00:00.000+0000
124,1281,9,null,3,40,INR,NEW,2023-01-01T12:00:00.000+0000
125,470,7,null,4,83,USD,NEW,2023-01-01T12:00:00.000+0000
126,2950,7,null,3,72,USD,NEW,2023-01-01T12:00:00.000+0000
127,330,9,null,4,46,CAD,NEW,2023-01-01T12:00:00.000+0000
128,1755,4,null,2,36,USD,NEW,2023-01-01T12:00:00.000+0000
129,1925,2,null,8,39,USD,NEW,2023-01-01T12:00:00.000+0000
130,103,9,null,3,25,USD,NEW,2023-01-01T12:00:00.000+0000
131,1839,5,null,9,30,EUR,NEW,2023-01-01T12:00:00.000+0000
132,1016,10,null,4,43,INR,NEW,2023-01-01T12:00:00.000+0000
133,1875,1,null,3,43,CAD,NEW,2023-01-01T12:00:00.000+0000
134,1823,4,null,8,48,EUR,NEW,2023-01-01T12:00:00.000+0000
135,1113,4,null,6,49,INR,NEW,2023-01-01T12:00:00.000+0000
136,624,2,null,8,42,EUR,NEW,2023-01-01T12:00:00.000+0000
137,1954,3,null,10,27,USD,NEW,2023-01-01T12:00:00.000+0000
138,1921,10,null,3,7,CAD,NEW,2023-01-01T12:00:00.000+0000
139,985,4,null,1,29,EUR,NEW,2023-01-01T12:00:00.000+0000
140,2596,4,null,10,20,CAD,NEW,2023-01-01T12:00:00.000+0000
141,723,2,null,4,22,USD,NEW,2023-01-01T12:00:00.000+0000
142,1419,10,null,6,40,INR,NEW,2023-01-01T12:00:00.000+0000
143,278,5,null,1,59,USD,NEW,2023-01-01T12:00:00.000+0000
144,2125,2,null,3,81,USD,NEW,2023-01-01T12:00:00.000+0000
145,1063,1,null,9,86,INR,NEW,2023-01-01T12:00:00.000+0000
146,2503,8,null,8,10,USD,NEW,2023-01-01T12:00:00.000+0000
147,2130,5,null,2,2,USD,NEW,2023-01-01T12:00:00.000+0000
148,2213,5,null,1,47,CAD,NEW,2023-01-01T12:00:00.000+0000
149,2846,4,null,1,90,EUR,NEW,2023-01-01T12:00:00.000+0000
150,2127,2,null,1,88,EUR,NEW,2023-01-01T12:00:00.000+0000
151,1773,4,null,4,99,EUR,NEW,2023-01-01T12:00:00.000+0000
152,2562,6,null,3,4,CAD,NEW,2023-01-01T12:00:00.000+0000
153,1721,10,null,2,45,INR,NEW,2023-01-01T12:00:00.000+0000
154,420,8,null,9,48,USD,NEW,2023-01-01T12:00:00.000+0000
155,2726,7,null,1,15,INR,NEW,2023-01-01T12:00:00.000+0000
156,2396,10,null,10,1,CAD,NEW,2023-01-01T12:00:00.000+0000
157,1463,9,null,8,59,INR,NEW,2023-01-01T12:00:00.000+0000
158,806,5,null,8,23,INR,NEW,2023-01-01T12:00:00.000+0000
159,336,2,null,10,70,EUR,NEW,2023-01-01T12:00:00.000+0000
160,2526,6,null,3,78,CAD,NEW,2023-01-01T12:00:00.000+0000
161,1400,7,null,3,96,CAD,NEW,2023-01-01T12:00:00.000+0000
162,374,2,null,2,11,EUR,NEW,2023-01-01T12:00:00.000+0000
163,2599,10,null,3,97,USD,NEW,2023-01-01T12:00:00.000+0000
164,334,4,null,1,53,CAD,NEW,2023-01-01T12:00:00.000+0000
165,2075,6,null,1,27,INR,NEW,2023-01-01T12:00:00.000+0000
166,442,10,null,6,39,INR,NEW,2023-01-01T12:00:00.000+0000
167,546,3,null,4,89,CAD,NEW,2023-01-01T12:00:00.000+0000
168,189,6,null,10,17,INR,NEW,2023-01-01T12:00:00.000+0000
169,560,6,null,3,42,USD,NEW,2023-01-01T12:00:00.000+0000
170,1448,4,null,8,64,USD,NEW,2023-01-01T12:00:00.000+0000
171,2858,2,null,9,78,CAD,NEW,2023-01-01T12:00:00.000+0000
172,2035,4,null,8,58,INR,NEW,2023-01-01T12:00:00.000+0000
173,2873,5,null,1,62,CAD,NEW,2023-01-01T12:00:00.000+0000
174,1009,7,null,10,89,EUR,NEW,2023-01-01T12:00:00.000+0000
175,2040,2,null,7,18,USD,NEW,2023-01-01T12:00:00.000+0000
176,69,4,null,9,72,USD,NEW,2023-01-01T12:00:00.000+0000
177,2582,10,null,10,18,INR,NEW,2023-01-01T12:00:00.000+0000
178,2032,9,null,8,16,CAD,NEW,2023-01-01T12:00:00.000+0000
179,2685,7,null,5,75,INR,NEW,2023-01-01T12:00:00.000+0000
180,2361,1,null,3,0,INR,NEW,2023-01-01T12:00:00.000+0000
181,545,1,null,9,46,USD,NEW,2023-01-01T12:00:00.000+0000
182,2055,10,null,2,68,INR,NEW,2023-01-01T12:00:00.000+0000
183,2015,10,null,4,10,USD,NEW,2023-01-01T12:00:00.000+0000
184,1443,5,null,6,43,CAD,NEW,2023-01-01T12:00:00.000+0000
185,2015,2,null,10,97,EUR,NEW,2023-01-01T12:00:00.000+0000
186,1519,10,null,2,56,EUR,NEW,2023-01-01T12:00:00.000+0000
187,1532,9,null,4,65,EUR,NEW,2023-01-01T12:00:00.000+0000
188,2263,6,null,6,44,USD,NEW,2023-01-01T12:00:00.000+0000
189,873,5,null,9,95,CAD,NEW,2023-01-01T12:00:00.000+0000
190,352,8,null,7,4,CAD,NEW,2023-01-01T12:00:00.000+0000
191,867,7,null,5,15,CAD,NEW,2023-01-01T12:00:00.000+0000
192,1706,8,null,9,79,INR,NEW,2023-01-01T12:00:00.000+0000
193,2685,3,null,9,4,CAD,NEW,2023-01-01T12:00:00.000+0000
194,330,8,null,6,5,USD,NEW,2023-01-01T12:00:00.000+0000
195,285,4,null,3,13,USD,NEW,2023-01-01T12:00:00.000+0000
196,2897,4,null,5,41,USD,NEW,2023-01-01T12:00:00.000+0000
197,2391,2,null,10,31,INR,NEW,2023-01-01T12:00:00.000+0000
198,2330,9,null,9,23,USD,NEW,2023-01-01T12:00:00.000+0000
199,594,3,null,3,50,EUR,NEW,2023-01-01T12:00:00.000+0000
200,30,4,null,8,0,EUR,NEW,2023-01-01T12:00:00.000+0000
201,1821,7,null,1,81,INR,NEW,2023-01-01T12:00:00.000+0000
202,868,6,null,8,20,USD,NEW,2023-01-01T12:00:00.000+0000
203,1978,10,null,1,27,INR,NEW,2023-01-01T12:00:00.000+0000
